payment_id,order_id,created_at,amount,currency,method,status,customer_email,merchant
pay_HO4ZektUJr,order_hQR6FEe,2026-08-02 00:00:00,19690.68,INR,NETBANKING,captured,arjun.malhotra24@example.com,Myntra
pay_VkGBr9BY8D,order_ztgjzEP,2026-08-11 00:00:00,16001.93,INR,WALLET,captured,ishita.gupta15@example.com,BookMyShow
pay_1Za1CdGMEB,order_dqir2Eb,2026-08-18 00:00:00,349.00,INR,CARD,captured,ananya.sharma61@example.com,
pay_n0h6Oj5sRz,order_DDCilLU,2026-08-16 00:00:00,10524.95,INR,WALLET,captured,arjun.malhotra21@example.com,Zomato
pay_ZJO1BEuVx5,order_18ox1zt,2026-08-22 00:00:00,2499.00,INR,WALLET,captured,meera.joshi48@example.com,Nykaa
pay_FK12BGCSzO,order_jD8uQO0,2026-08-21 00:00:00,998.00,INR,WALLET,captured,aarav.mehta26@example.com,CRED
pay_MoQrof8VRg,order_ksbudwA,2026-08-06 00:00:00,1299.00,INR,CARD,captured,rahul.verma14@example.com,Flipkart
pay_QEKoNCP3Cr,order_He69s7Q,2026-08-04 00:00:00,8984.34,INR,WALLET,captured,arjun.malhotra89@example.com,Nykaa Online
pay_J9s8OrJQUd,order_LE4rXLv,2026-08-04 00:00:00,399.00,INR,CARD,failed,ishita.gupta55@example.com,Amazon
pay_cwi4uzmW2w,order_Fqk467s,2026-08-05 00:00:00,239.00,INR,WALLET,captured,aditya.rao66@example.com,CRED
pay_aHCPPKY6go,order_b2I4ndZ,2026-08-05 00:00:00,1499.00,INR,WALLET,captured,ananya.sharma60@example.com,Cult.fit
pay_g3iCPU6zUj,order_zgEz6cw,2026-08-22 00:00:00,349.00,INR,NETBANKING,captured,sneha.kapoor24@example.com,Nykaa Online
pay_r86ZfnN8du,order_9WmZIKY,2026-08-05 00:00:00,299.00,INR,UPI,captured,aarav.mehta60@example.com,Flipkart
pay_Xg1iwWKaqh,order_AhdBwKC,2026-08-21 00:00:00,5867.30,INR,NETBANKING,captured,rahul.verma42@example.com,Flipkart
pay_0AgSB3tjhM,order_KSxLsFA,2026-08-15 00:00:00,2999.00,INR,CARD,captured,aarav.mehta71@example.com,Urban Company
pay_ZyTttp7QDf,order_fAUxid7,2026-08-22 00:00:00,249.00,INR,WALLET,captured,arjun.malhotra53@example.com,RAZORPAY*Meesho
pay_FjD0vIhroA,order_IVMPILO,2026-08-10 00:00:00,299.00,INR,NETBANKING,failed,ananya.sharma83@example.com,MakeMyTrip
pay_liOeT8fGxC,order_jtu6K2j,2026-08-14 00:00:00,1499.00,INR,UPI,captured,kavya.iyer10@example.com,Urban Company
pay_BqUhArQEPc,order_yLasnip,2026-08-05 00:00:00,809.00,INR,WALLET,captured,sneha.kapoor87@example.com,Blinkit
pay_ZXe1cb51JJ,order_RzhbuXM,2026-08-04 00:00:00,509.00,INR,UPI,captured,rahul.verma81@example.com,CRED
pay_GytvukFhF4,order_vTYYojm,2026-08-21 00:00:00,2499.00,INR,UPI,captured,ishita.gupta61@example.com,AJIO
pay_B5INM1MjeB,order_srdFtCd,2026-08-20 00:00:00,1499.00,INR,UPI,refunded,ishita.gupta84@example.com,RAZORPAY*CRED
pay_IX3BYOtDjd,order_g3vSFkp,2026-08-12 00:00:00,15471.37,INR,CARD,captured,sneha.kapoor84@example.com,Nykaa
pay_WQdNuuIxp0,order_7LjfP4t,2026-08-03 00:00:00,599.00,INR,CARD,refunded,arjun.malhotra62@example.com,Amazon
pay_R694fPFbt6,order_vVl9jsW,2026-08-11 00:00:00,2999.00,INR,UPI,failed,rohan.patel95@example.com,Meesho
pay_jlQM3ScwS8,order_LUWoo7W,2026-08-10 00:00:00,12354.82,INR,WALLET,captured,ishita.gupta58@example.com,Cult.fit
pay_zkmL2dDx5S,order_FhfjBFZ,2026-08-01 00:00:00,9440.76,INR,WALLET,captured,rahul.verma77@example.com,Swiggy
pay_xxfntgSujc,order_4DZVDM4,2026-08-20 00:00:00,2999.00,INR,CARD,refunded,arjun.malhotra74@example.com,Myntra
pay_ohoNMdZEHN,order_JSsavJl,2026-08-18 00:00:00,499.00,INR,UPI,refunded,,Amazon
pay_cxxUweoOgK,order_UivuNZQ,2026-08-15 00:00:00,299.00,INR,CARD,captured,arjun.malhotra70@example.com,MakeMyTrip
pay_X2ttyYDcOr,order_1cOqXBy,2026-08-16 00:00:00,12732.90,INR,CARD,captured,priya.nair15@example.com,Nykaa
pay_A9lsgusBSk,order_BBT4MAN,2026-08-16 00:00:00,6500.82,INR,WALLET,captured,arjun.malhotra20@example.com,Urban Company
